CUV,
CTS,
LP,
QUIM_G,
FBM,
FMEC,
CTSA,
SEDO,CUV
MD,
AEDI,LP
GA,
AEDII,AEDI
PROB,CUV
CVV,CUV
CVV,GA
CD,
AL,GA
BD,AEDI
POO,AEDI
AOC,CD
PAA,MD
PAA,AEDII
CN,CUV
CN,GA
LFA,LP
LFA,MD
TG,PAA
PROJO,POO
SO,AEDI
IA,AEDI
CG,AEDI
COMP,LFA
ENG_SOF,POO
PCD,SO
REDES,POO
IHC,POO
TCCII,TCCI
TCCI,
ELETIVA1,
ELETIVA2,
ELETIVA3,
ELETIVA4,
ELETIVA5,
ELETIVA6,
ELETIVA7,
INTERDICIPLINAR1,
INTERDICIPLINAR2,
INTERDICIPLINAR3,
INTERDICIPLINAR4,
